INCIDENCECODE,LABEL,INCIDENCEDATE,GTICODE
1124296186622_1,vivido,2016-09-14 13:23:27,8.27.1566.30 F
1129622993686_0,órganos,2016-09-13 14:13:33,8.48.1504.10 O
1129622993686_1,órganos,2016-09-13 14:13:33,8.48.1504.10 O
1134141922165,últimas,2016-04-21 18:38:51,8.36.1506.20 G
113629196665_0,zidane,2016-08-26 14:18:05,8.21.1522.10 C
113629196665_1,tratada,2016-08-26 14:18:05,8.21.1522.10 C
1136450319668,volvía,2016-08-04 08:09:57,8.34.1541.30 K
1142204276811_0,órganos,2016-05-13 10:28:31,M0047MCX0006
1142204276811_1,traumatizó,2016-05-13 10:28:31,M0047MCX0006
1144715334968_0,órganos,2016-09-29 00:05:02,M0046MCX0107
1144715334968_1,órganos,2016-09-29 00:05:02,M0046MCX0107
1144801452253,vivir,2016-09-28 21:03:45,8.28.1300.10 L
1145564612733,órganos,2016-09-05 18:26:42,8.33.1500.30 J
1146870990725,tratada,2016-04-28 13:32:27,8.36.1500.10 O
1150412024100_0,órganos,2016-05-03 21:55:40,8.42.1400.10 K
1150412024100_1,órganos,2016-05-03 21:55:40,8.42.1400.10 K
1153870713968,volvía,2016-05-05 11:15:37,8.28.1515.10 M
1155430416610,últimas,2016-09-13 14:14:13,8.28.1311.30 V
1155698800056,ver,2016-10-05 13:39:47,8.73.1632.50 D
1157491307388,órganos,2016-06-09 18:20:27,8.35.1504.30 L
1162137020528_1,orquesta,2016-07-27 08:44:05,8.24.1408.30 N
1162137020528_2,marvin,2016-07-27 08:44:05,8.24.1408.30 N
1162667935943,ver,2016-08-10 14:07:07,8.90.1600.50 M
1162780823360,volvía,2016-09-29 10:44:58,8.27.1555.30 E
1163606094197,volara,2016-09-06 10:13:20,8.33.1501.30 H
1172832090995_0,reconocido,2016-04-28 20:56:19,8.32.1506.10 H
1172832090995_1,xunta,2016-04-28 20:56:19,8.32.1506.10 H
1172985468662,vecino,2016-05-17 20:14:25,8.24.1416.30 L
1178621100870,viernes,2016-05-26 09:42:57,8.28.1300.10 L
1183105029730,volara,2016-08-25 21:55:09,8.49.1502.10 F
11851705110,últimas,2016-02-14 11:13:54,8.28.1300.10 L
1192650505639,órganos,2016-05-11 16:38:27,8.25.1508.30 K
1192730211867_0,traumatizó,2016-08-19 13:29:21,8.25.1500.30 N
1192730211867_1,seguidas,2016-08-19 13:29:21,8.25.1500.30 N
1201523482192_0,órganos,2016-09-19 21:21:23,8.73.1612.50 D
1201523482192_1,xunta,2016-09-19 21:21:23,8.73.1612.50 D
1201523482192_2,últimas,2016-09-19 21:21:23,8.73.1612.50 D
1205920582657_1,supuso,2016-05-17 21:01:18,M0047MCX0006
1205920582657_2,tienen,2016-05-17 21:01:18,M0047MCX0006
1205920582657_3,traumatizó,2016-05-17 21:01:18,M0047MCX0006
1206549323283_1,viven,2016-10-06 13:35:09,8.47.1503.30 D
1209262915041_0,ángel,2016-09-30 13:28:13,8.36.1500.10 P
1209262915041_1,ética,2016-09-30 13:28:13,8.36.1500.10 P
121234162884,viernes,2016-08-23 12:08:22,8.21.1510.10 G
1215171839927,volara,2016-07-28 12:44:25,8.27.1355.30 K
1216305769895,volvía,2016-08-01 10:00:52,8.27.1535.10 C
122213356152_0,une,2016-09-15 18:58:41,8.21.1510.10 G
122213356152_1,vivido,2016-09-15 18:58:41,8.21.1510.10 G
1232484966560,proporcional,2016-05-05 13:31:50,8.21.1510.10 G
1236909075622_1,tratada,2016-08-20 11:46:27,8.99.1450.30 B
1242453586796_1,sufrió,2016-07-27 09:51:23,M0052MCX0016
1251025306368_1,tiene,2016-04-19 12:52:13,8.28.1518.10 I
1255324969195,proporcional,2016-05-05 13:42:11,8.21.1510.10 G
1255858822998,volvía,2016-08-11 12:25:52,8.29.1501.10 O
1258203748971,volvía,2016-09-02 10:35:12,8.34.1550.40 F
1259204070591_1,suicida,2016-10-06 08:50:03,8.30.1501.10 G
1261385571404_0,vecino,2016-09-22 22:14:23,8.99.1503.30 L
1261385571404_1,volvía,2016-09-22 22:14:23,8.99.1503.30 L
1265622226823,últimas,2016-05-13 19:20:01,8.43.1541.30 K
1270372031775,volara,2016-06-17 10:14:26,8.32.1556.30 J
1276211575150_0,xunta,2016-07-15 13:19:21,8.73.1500.30 I
1276211575150_1,zona,2016-07-15 13:19:21,8.73.1500.30 I
128440559388_0,tribunal,2016-10-03 16:30:03,8.36.1500.10 P
128440559388_1,zidane,2016-10-03 16:30:03,8.36.1500.10 P
128685049804,órganos,2016-07-27 14:25:20,8.34.1651.50 R
1288179028437_0,últimas,2016-07-26 10:03:11,8.28.1452.30 M
1288179028437_1,últimas,2016-07-26 10:03:11,8.28.1452.30 M
1304617187137,vida,2016-05-16 22:17:48,8.35.1506.30 H
1306106974101,viernes,2016-07-19 20:01:24,8.32.1502.30 H
1307930313586,miriam,2016-08-10 11:06:39,8.27.1563.30 F
1311622146197_1,últimas,2016-10-10 22:03:39,8.99.1505.10 A
1311622146197_2,volcar,2016-10-10 22:03:39,8.99.1505.10 A
1311622146197_3,xunta,2016-10-10 22:03:39,8.99.1505.10 A
1311622146197_4,viene,2016-10-10 22:03:39,8.99.1505.10 A
1311622146197_5,últimas,2016-10-10 22:03:39,8.99.1505.10 A
131449352049,vuelo,2016-09-28 21:28:55,8.28.1300.10 L
1316612507478_0,ver,2016-09-23 10:16:17,8.43.1571.30 J
1316612507478_1,une,2016-09-23 10:16:17,8.43.1571.30 J
1316612507478_2,últimas,2016-09-23 10:16:17,8.43.1571.30 J
1316612507478_3,situará,2016-09-23 10:16:17,8.43.1571.30 J
1319823649206,últimas,2016-02-25 11:17:39,8.00.1303.30 M
1322658098007,situará,2016-05-30 13:51:15,8.33.1500.30 J
132426234616,volara,2016-09-07 19:34:22,8.90.1501.30 J
1325142123610,viernes,2016-07-19 16:18:09,8.28.1310.30 U
132582849876_0,vacía,2016-06-01 16:49:53,8.73.1503.30 E
132582849876_1,único,2016-06-01 16:49:53,8.73.1503.30 E
1327311148596_1,tratada,2016-07-28 14:13:05,8.31.1503.30 H
1343869542518,órganos,2016-06-24 19:16:25,8.24.1422.30 G
1353316669332,volvía,2016-06-17 08:11:16,8.27.1566.30 F
1357728793140,últimas,2016-09-09 10:29:35,8.30.1501.10 G
1358400875110,última,2016-04-25 19:25:27,M0049MCX0001
1360718971187_1,nan,2016-09-30 07:56:37,8.28.1311.30 V
1365927753479,viernes,2016-07-29 08:13:56,8.33.1400.30 J
13663315097,últimas,2016-07-26 13:31:28,8.47.1503.30 D
1366485088744,traduzco,2016-02-27 13:06:01,8.28.1300.10 L
1366573901991,volara,2016-09-23 13:41:30,8.29.1501.10 O
1367986211190,órganos,2016-09-23 18:43:32,8.73.1503.30 E
1373753233182,volara,2016-09-16 11:00:07,M0054MCX0015
1375197001669,órganos,2016-08-16 13:44:22,8.47.1503.30 D
1375944211751,volvía,2016-07-29 13:57:56,8.29.1510.30 B
1380389416762_0,vecino,2016-09-13 22:08:03,8.27.1566.30 F
1380389416762_1,órganos,2016-09-13 22:08:03,8.27.1566.30 F
1381305563333,vida,2016-06-15 21:29:33,8.31.1500.30 J
1382412420222,volar,2016-03-19 10:36:12,8.24.1425.30 B
1387918661811_1,volara,2016-05-24 21:31:12,8.33.1508.30 F
1388942782993,seguirá,2016-05-24 10:31:35,8.33.1502.30 O
1398178088884_0,traumatizó,2016-08-22 13:23:15,M0047MCX0044
1398178088884_1,últimas,2016-08-22 13:23:15,M0047MCX0044
1405985474759,ver,2016-09-08 19:23:34,8.32.1602.50 M
1408870330759_1,surgen,2016-05-09 18:37:58,M0047MCX0008
1408870330759_2,reacciones,2016-05-09 18:37:58,M0047MCX0008
1409139727842,órganos,2016-08-16 11:37:43,8.47.1503.30 D
141148153079,órganos,2016-03-29 13:33:43,8.24.1418.30 J
1411818318686,últimas,2016-08-30 11:51:15,M0047MCX0055
1412177060745_1,últimas,2016-04-27 13:04:55,8.34.1524.30 K
1414101342335,vivir,2016-09-28 16:32:54,8.28.1300.10 L
1421852363413,zidane,2016-09-13 16:27:29,8.28.1505.20 K
1422439079816_0,vecino,2016-06-21 12:38:31,8.21.1516.30 J
1422439079816_1,tuvo,2016-06-21 12:38:31,8.21.1516.30 J
1424132422363,volvía,2016-06-18 11:20:14,8.21.1513.20 K
1425666168071,volara,2016-08-19 13:50:52,8.25.1500.30 N
1433084635272,tratar,2016-09-19 18:41:36,8.52.1503.30 K
1435259886128,órganos,2016-08-29 20:54:57,8.21.1522.10 C
1438053356376_1,tratar,2016-09-12 16:35:32,8.32.1556.30 J
1438069199560,volvía,2016-09-26 10:21:11,8.43.1572.30 J
1439287998597,vivió,2016-08-20 11:47:46,M0051MCX0033
1441410703010,volara,2016-08-25 17:03:26,8.28.1504.20 I
1452024795840,volvía,2016-05-25 17:39:48,8.28.1310.30 U
1452746036184,ver,2016-06-20 20:30:33,8.73.1641.50 B
1453159653180,últimas,2016-04-28 08:29:32,8.29.1510.30 B
1453576199100,órganos,2016-06-22 22:19:27,8.33.1502.30 O
1453858771085_1,últimas,2016-04-29 18:14:44,8.28.1508.10 G
1457583849386_1,vivido,2016-07-09 13:21:53,8.43.1572.30 J
1457583849386_2,xunta,2016-07-09 13:21:53,8.43.1572.30 J
1457583849386_3,pérdida,2016-07-09 13:21:53,8.43.1572.30 J
1461807253251,volvía,2016-07-25 19:32:41,8.47.1503.30 D
14633891728_1,viven,2016-07-29 12:59:28,8.47.1503.30 D
1465287053674,últimas,2016-06-03 18:03:43,8.52.1505.30 E
146709919904_0,utilizándose,2016-08-10 16:20:35,8.43.1460.30 J
146709919904_1,vivido,2016-08-10 16:20:35,8.43.1460.30 J
1467879305360_0,últimas,2016-09-09 16:19:39,8.99.1501.30 I
1467879305360_1,viene,2016-09-09 16:19:39,8.99.1501.30 I
1467879305360_2,áfrica,2016-09-09 16:19:39,8.99.1501.30 I
1467879305360_3,órganos,2016-09-09 16:19:39,8.99.1501.30 I
1469900641107,últimas,2016-07-12 21:07:16,8.36.1501.10 N
1471361367924,tratada,2016-07-12 17:12:40,8.31.1450.30 A
1471834394098,últimas,2016-06-23 20:56:04,8.32.1542.20 G
1472275691416,volvía,2016-08-11 11:27:37,8.29.1501.10 O
1473710772375,volara,2016-09-22 10:15:07,8.32.1536.30 H
1478369640691,mejor,2016-07-19 12:51:25,8.34.1544.30 G
1494135332395_1,últimas,2016-09-01 14:27:44,8.38.1611.20 A
1494430852953,viernes,2016-08-05 14:01:34,8.28.1321.10 G
1495372434992,volara,2016-07-08 20:20:30,8.32.1536.30 H
1496627784868_1,últimas,2016-06-28 12:50:49,8.43.1510.30 L
1509411071873,vida,2016-08-11 13:30:11,8.29.1510.30 B
1511389725767,vivir,2016-04-28 18:51:56,8.27.1582.30 F
1513127336913,volvía,2016-08-29 11:24:14,8.27.1542.10 E
1514645864613_0,últimas,2016-07-11 13:47:26,8.43.1510.30 L
1514645864613_1,últimas,2016-07-11 13:47:26,8.43.1510.30 L
1515259047558,órganos,2016-08-16 13:47:05,8.47.1503.30 D
1516918319832,órganos,2016-04-21 17:35:55,M0046MCX0012
1519712680652,victoria,2016-09-27 11:16:42,8.26.1504.10 M
1525618083818_1,volar,2016-06-14 22:07:57,8.26.1503.10 H
1525618083818_2,tratada,2016-06-14 22:07:57,8.26.1503.10 H
1526687065720,toro,2016-04-27 19:13:30,8.24.1426.30 I
1532145512835,traduzco,2016-04-02 08:07:03,8.28.1300.10 L
1535705070580,volara,2016-05-26 08:58:17,8.21.1522.10 C
153715402013,volvía,2016-06-15 12:09:45,8.34.1516.30 J
1540555220419_0,órganos,2016-06-29 21:32:17,8.36.1500.10 P
1540555220419_1,órganos,2016-06-29 21:32:17,8.36.1500.10 P
1542460615750_1,tratada,2016-09-23 08:22:50,8.30.1505.10 F
1543017393095,volara,2016-08-16 11:32:15,M0051MCX0020
154365400094_1,ángel,2016-05-16 17:09:06,8.33.1508.30 F
1550131826597_0,rey,2016-06-30 16:53:17,8.32.1546.30 H
1550131826597_1,órganos,2016-06-30 16:53:17,8.32.1546.30 H
1550131826597_2,vivido,2016-06-30 16:53:17,8.32.1546.30 H
1552044319847,traumatizó,2016-05-13 11:29:40,M0047MCX0006
155289721923_1,veces,2016-07-01 17:57:04,8.48.1504.10 O
1553842532048,últimas,2016-09-02 11:01:14,8.32.1600.50 M
1557178957153,volvía,2016-08-25 11:32:04,8.30.1502.10 J
1557424651792,órganos,2016-09-09 18:44:24,8.43.1572.30 J
155809696287,término,2016-09-12 14:21:03,8.32.1546.30 H
1559178613369_0,vivido,2016-06-02 20:46:35,8.31.1504.30 I
1559178613369_1,vacía,2016-06-02 20:46:35,8.31.1504.30 I
1559178613369_2,volar,2016-06-02 20:46:35,8.31.1504.30 I
1559178613369_3,vivido,2016-06-02 20:46:35,8.31.1504.30 I
1559190566912_0,traumatizó,2016-08-30 21:38:22,8.25.1500.30 N
1559190566912_1,órganos,2016-08-30 21:38:22,8.25.1500.30 N
1559496925502,volvía,2016-05-25 09:09:53,M0047MCX0022
1559607604441,ética,2016-04-25 13:39:48,8.27.1562.30 J
157157004615_0,rey,2016-06-30 16:52:41,8.32.1546.30 H
157157004615_1,órganos,2016-06-30 16:52:41,8.32.1546.30 H
157157004615_2,vivido,2016-06-30 16:52:41,8.32.1546.30 H
1571891920618,tuvo,2016-07-25 22:12:54,8.33.1507.30 J
1573405708139,vivía,2016-07-28 10:56:54,8.42.1606.10 F
1577656158578,volvía,2016-08-31 14:29:17,8.20.1500.10 I
1588662751750_1,últimas,2016-09-28 21:06:24,8.32.1502.30 H
1589193263802,órganos,2016-09-05 13:56:24,8.34.1528.30 J
159004969304_0,restaurar,2016-09-13 09:38:13,8.35.1503.10 P
159004969304_1,últimas,2016-09-13 09:38:13,8.35.1503.10 P
159004969304_2,venta,2016-09-13 09:38:13,8.35.1503.10 P
1598784843827_1,stalinismo,2016-05-23 18:04:10,8.52.1503.30 K
1598784843827_2,xunta,2016-05-23 18:04:10,8.52.1503.30 K
1598784843827_3,tuvo,2016-05-23 18:04:10,8.52.1503.30 K
160132769620,viernes,2016-05-26 09:46:31,8.28.1300.10 L
1602013932872,vida,2016-09-19 17:42:59,8.43.1550.30 J
1602088116489,prolonga,2016-09-02 21:43:00,8.27.1600.50 L
1602980670362,mejor,2016-06-30 17:02:39,8.31.1407.30 H
1611436909945,originó,2016-07-26 14:21:44,8.47.1503.30 D
1613996307301_1,últimas,2016-09-28 20:27:46,8.32.1502.30 H
1623048549820,vez,2016-06-13 14:09:02,8.32.1501.10 J
1623661837173,sumergirse,2016-07-25 14:19:30,8.26.1600.30 I
1625727400694,últimas,2016-09-02 17:59:02,8.32.1506.10 H
1625906441600_1,últimas,2016-06-09 12:58:45,8.33.1510.30 G
1625906441600_2,táctico,2016-06-09 12:58:45,8.33.1510.30 G
1628500326124_0,volar,2016-07-08 19:18:25,8.43.1570.30 J
1628500326124_1,volar,2016-07-08 19:18:25,8.43.1570.30 J
1628500326124_2,pérdida,2016-07-08 19:18:25,8.43.1570.30 J
1630058727003_1,vivieron,2016-05-20 13:30:14,8.43.1500.30 M
1631646182433,ángel,2016-07-15 12:58:06,M0051MCX0020
1634113588625,volar,2016-06-21 18:06:17,8.30.1502.10 I
1639701386814,volvía,2016-06-22 21:29:00,8.33.1502.30 O
1647303889417_1,volara,2016-04-28 19:24:54,8.32.1536.30 H
1654870984848,vivió,2016-09-23 19:03:40,8.36.1501.10 N
1657219194455_0,tribunal,2016-06-07 11:16:41,8.36.1500.10 P
1657219194455_1,zidane,2016-06-07 11:16:41,8.36.1500.10 P
1666868628102_0,últimas,2016-09-02 22:12:44,8.42.1601.50 K
1666868628102_1,visto,2016-09-02 22:12:44,8.42.1601.50 K
1674332854591,órganos,2016-09-16 19:27:52,M0054MCX0016
1677745925123,volvía,2016-06-16 12:13:09,8.33.1513.30 G
1679601162845,órganos,2016-05-06 19:03:57,8.34.1509.30 J
1680164339287_0,xunta,2016-07-01 16:53:49,8.36.1502.30 I
1680164339287_1,últimas,2016-07-01 16:53:49,8.36.1502.30 I
1693590759667_0,últimas,2016-04-11 14:04:17,8.21.1523.10 D
1693590759667_1,últimas,2016-04-11 14:04:17,8.21.1523.10 D
1693590759667_2,últimas,2016-04-11 14:04:17,8.21.1523.10 D
1693590759667_3,órganos,2016-04-11 14:04:17,8.21.1523.10 D
1693590759667_4,órganos,2016-04-11 14:04:17,8.21.1523.10 D
1693590759667_5,últimas,2016-04-11 14:04:17,8.21.1523.10 D
1695257194033_1,órganos,2016-05-23 14:21:53,8.25.1500.30 N
1695257194033_2,vio,2016-05-23 14:21:53,8.25.1500.30 N
1695257194033_3,órganos,2016-05-23 14:21:53,8.25.1500.30 N
1695257194033_4,álvarez,2016-05-23 14:21:53,8.25.1500.30 N
1695779269989_1,órganos,2016-04-26 22:06:42,8.25.1500.30 N
1695779269989_2,vivido,2016-04-26 22:06:42,8.25.1500.30 N
1698595691740,volvía,2016-07-16 12:13:24,8.34.1550.40 F
1701654010777,últimas,2016-06-10 17:42:39,8.21.1520.10 D
170419230106,volar,2016-04-18 10:39:18,8.28.1515.10 M
1707067932788_1,órganos,2016-07-11 13:29:33,8.21.1523.10 D
1711694944626,volvía,2016-05-06 17:35:02,8.25.1500.30 N
1716080757161,telecom,2016-07-11 12:53:43,8.30.1502.10 J
1718986625566_1,órganos,2016-06-29 09:03:41,8.30.1502.10 J
1718986625566_2,recordaba,2016-06-29 09:03:41,8.30.1502.10 J
1719906989782,últimas,2016-05-07 12:21:37,8.43.1550.30 J
1720060812472_1,viven,2016-08-16 12:08:55,8.47.1503.30 D
1721312455608_1,xunta,2016-08-22 14:12:56,8.38.1502.30 H
1721312455608_2,zarzalejos,2016-08-22 14:12:56,8.38.1502.30 H
174560728759_0,ver,2016-06-13 20:55:17,8.27.1536.10 F
174560728759_1,órganos,2016-06-13 20:55:17,8.27.1536.10 F
174560728759_2,últimas,2016-06-13 20:55:17,8.27.1536.10 F
174560728759_3,washington,2016-06-13 20:55:17,8.27.1536.10 F
174560728759_4,zidane,2016-06-13 20:55:17,8.27.1536.10 F
1750038060631_0,volara,2016-05-10 13:45:38,8.32.1542.20 G
1750038060631_1,vivía,2016-05-10 13:45:38,8.32.1542.20 G
1752022030652_0,toro,2016-10-10 08:12:50,8.24.1408.30 N
1752022030652_1,vivieron,2016-10-10 08:12:50,8.24.1408.30 N
1752360619235,volara,2016-08-01 08:52:23,8.27.1535.10 C
1755958980464,volar,2016-10-08 13:16:05,8.24.1600.50 M
1760704876985,zona,2016-07-28 12:22:19,8.24.1412.30 M
176535667557,volvía,2016-09-09 13:50:29,8.27.1531.10 E
1766695468357_0,ver,2016-06-13 18:30:35,8.27.1500.10 D
1766695468357_1,washington,2016-06-13 18:30:35,8.27.1500.10 D
1766695468357_2,zidane,2016-06-13 18:30:35,8.27.1500.10 D
1766695468357_3,últimas,2016-06-13 18:30:35,8.27.1500.10 D
1766695468357_4,últimas,2016-06-13 18:30:35,8.27.1500.10 D
1767933871411,órganos,2016-09-29 00:01:26,M0046MCX0107
1769473643355_0,tribunal,2016-09-14 11:02:08,8.36.1500.10 P
1769473643355_1,zidane,2016-09-14 11:02:08,8.36.1500.10 P
178306204242,volara,2016-07-01 12:21:58,8.35.1503.10 P
1786302265935,vivido,2016-05-19 20:38:46,8.31.1504.30 I
1786882140041_0,une,2016-06-30 14:01:28,8.21.1522.10 C
1786882140041_1,volar,2016-06-30 14:01:28,8.21.1522.10 C
1787832694299,ver,2016-09-19 17:49:30,8.52.1503.30 K
180101558480,regresar,2016-08-29 18:46:05,8.43.1543.30 K
1808489017974,volara,2016-05-05 18:01:47,8.31.1506.30 I
181428488044_1,venta,2016-06-14 19:36:59,M0049MCX0015
1814677210268,volar,2016-05-06 18:35:19,8.27.1566.30 F
1815007183737_1,órganos,2016-06-30 08:38:06,8.35.1505.30 J
1816436203504,vida,2016-08-08 10:12:39,8.28.1318.30 M
1817236149645,órganos,2016-08-29 11:14:50,8.27.1542.10 E
1829737873544,vivido,2016-07-12 09:37:22,8.28.1461.30 E
1838141318572_1,streisand,2016-07-06 13:00:12,8.47.1503.30 D
1838141318572_2,streisand,2016-07-06 13:00:12,8.47.1503.30 D
1851709855082_1,variarán,2016-06-22 14:17:56,8.38.1607.20 G
1853789212695_0,utilizándose,2016-07-15 17:21:51,M0050MCX0044
1853789212695_1,volara,2016-07-15 17:21:51,M0050MCX0044
1855792171333,últimas,2016-06-24 12:47:26,8.26.1605.30 F
1857943489038_1,últimas,2016-06-28 21:10:48,8.99.1503.30 L
1858569290948_1,órganos,2016-04-12 11:00:11,8.36.1500.10 O
1860001684096,toro,2016-06-13 09:52:22,8.24.1426.30 I
1865594521880,ver,2016-09-30 12:21:33,8.24.1403.30 K
1867652356870,situará,2016-08-10 14:14:04,8.90.1600.50 M
187386754087,volvía,2016-05-20 14:13:18,8.23.1502.30 H
1875587152367_0,técnicas,2016-09-22 20:48:31,8.33.1501.30 H
1875587152367_1,tratada,2016-09-22 20:48:31,8.33.1501.30 H
1875961504063_1,suicida,2016-09-27 22:00:09,8.24.1407.30 Q
1877651648730_0,xunta,2016-07-05 08:15:41,8.21.1516.30 J
1877651648730_1,últimas,2016-07-05 08:15:41,8.21.1516.30 J
187776093241,tienen,2016-06-21 08:36:51,8.23.1502.30 H
1878430423958,situará,2016-04-26 11:26:57,8.33.1502.30 O
1881871173313,volara,2016-05-20 12:44:45,8.23.1503.30 I
1882005051184_1,xunta,2016-08-23 10:14:07,8.30.1502.10 J
1882005051184_2,últimas,2016-08-23 10:14:07,8.30.1502.10 J
1882807668917,órganos,2016-05-07 14:04:00,8.27.1542.10 E
1888453632638,últimas,2016-10-06 19:04:20,8.27.1501.30 J
1891246046284_0,zabala,2016-02-15 08:26:19,8.28.1300.10 L
1891246046284_1,zidane,2016-02-15 08:26:19,8.28.1300.10 L
1902296750648,xvi,2016-06-24 10:08:31,8.42.1401.10 K
1905554469090,tiene,2016-09-12 13:55:10,8.28.1509.10 K
1911902345979,volvía,2016-04-29 09:40:16,8.36.1500.10 O
1914158818100,tenía,2016-08-30 16:54:12,8.52.1503.30 K
1922182391696_1,últimas,2016-09-01 13:22:16,M0051MCX0033
1923536262974_0,vivió,2016-06-09 10:45:55,8.33.1506.30 H
1923536262974_1,vivido,2016-06-09 10:45:55,8.33.1506.30 H
192909239883,viernes,2016-05-26 09:39:58,8.28.1300.10 L
1929284076507,órganos,2016-04-20 20:52:25,8.49.1500.10 F
1929602037561,viernes,2016-03-12 12:51:17,8.28.1300.10 L
1932507957968_0,últimas,2016-10-03 16:46:25,M0055MCX0011
1932507957968_1,único,2016-10-03 16:46:25,M0055MCX0011
1934581205871,tratada,2016-08-03 07:54:55,8.27.1510.30 F
1937599550383,tribunal,2016-06-22 13:51:37,M0046MCX0054
1939081892149,últimas,2016-09-12 21:05:55,8.32.1605.30 A
1942753300278_0,rey,2016-06-30 16:52:41,M0050MCX0030
1942753300278_1,órganos,2016-06-30 16:52:41,M0050MCX0030
1942753300278_2,vivido,2016-06-30 16:52:41,M0050MCX0030
1947638668333,volara,2016-09-28 07:59:44,8.29.1509.30 H
